species,lat,lon,country,eventDate,basisOfRecord,presence,10m_bio_1,10m_bio_2,10m_bio_3,10m_bio_4,10m_bio_5,10m_bio_6,10m_bio_7,10m_bio_8,10m_bio_9,10m_bio_10,10m_bio_11,10m_bio_12,10m_bio_13,10m_bio_14,10m_bio_15,10m_bio_16,10m_bio_17,10m_bio_18,10m_bio_19,10m_elev
Apis mellifera,-1.223488,36.897896,Kenya,2026-01-12T15:49,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-1.223413,36.897344,Kenya,2026-01-19T17:43,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-1.222881,36.897628,Kenya,2026-01-14T14:40,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-0.524644,36.664209,Kenya,2026-01-06T14:24,HUMAN_OBSERVATION,1,182.0,12.380291938781738,77.58898162841797,91.04951477050781,21.006750106811523,5.05049991607666,15.956250190734863,13.365875244140625,12.696083068847656,13.448583602905273,11.187749862670898,1141.0,182.0,46.0,42.724239349365234,436.0,176.0,336.0,221.0,2580.0
Apis mellifera,-1.115084,36.67763,Kenya,2026-01-26T11:43:47,HUMAN_OBSERVATION,1,318.0,11.765978813171387,72.74063873291016,130.51806640625,25.587749481201172,9.412500381469727,16.175249099731445,17.60416603088379,14.966041564941406,18.025833129882812,14.76420783996582,1304.0,318.0,35.0,80.90485382080078,658.0,115.0,481.0,132.0,1997.0
Apis mellifera,-1.267186,36.821036,Kenya,2025-01-06T07:15,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-4.373255,39.556372,Kenya,2025-01-18T12:08:59,HUMAN_OBSERVATION,1,,,,,,,,,,,,,,,,,,,,
Apis mellifera,-1.18162,36.951995,Kenya,2025-01-21T13:25:13,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-1.529887,35.318703,Kenya,2025-01-27T13:55:43,HUMAN_OBSERVATION,1,163.0,12.563416481018066,81.27189636230469,83.44486236572266,27.17424964904785,11.715749740600586,15.458499908447266,20.248750686645508,18.355249404907227,20.248750686645508,18.158916473388672,943.0,163.0,24.0,51.00016784667969,375.0,102.0,375.0,106.0,1667.0
Apis mellifera,-1.352293,36.712182,Kenya,2025-01-30T10:27,HUMAN_OBSERVATION,1,191.0,11.984271049499512,72.64295196533203,127.05976867675781,28.277999877929688,11.780500411987305,16.497499465942383,20.282583236694336,17.86954116821289,20.80608367919922,17.616374969482422,858.0,191.0,18.0,76.34839630126953,418.0,58.0,313.0,69.0,1775.0
